Process step,Potential failure mode,Potential effect(s) of failure,SEV (1-10),Potential cause(s),OCC (1-10),Current controls (prevention),Current controls (detection),DET (1-10),RPN,Recommended action,Owner,Target date,Action taken,New SEV,New OCC,New DET,New RPN
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
RPN = SEV x OCC x DET,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SUPPORT-SPECIFIC SCORING GUIDANCE,,,,,,,,,,,,,,,,,
Scale,1-2,3-4,5-6,7-8,9-10,,,,,,,,,,,,
SEVERITY,Customer does not notice,Minor annoyance,Customer must follow up,Customer escalates or churns risk,Regulatory / safety / mass impact,,,,,,,,,,,,
OCCURRENCE,Once a year or less,Monthly,Weekly,Daily,Every contact of this type,,,,,,,,,,,,
DETECTION,Automated block prevents it,System flags at the moment,QA sampling catches it,Supervisor spots it eventually,Only detected if the customer contacts us again,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"KEY INSIGHT: in support, DETECTION is usually terrible (8-10). Most support failures are only detected if the customer",,,,,,,,,,,,,,,,,
"complains a second time. Score every step whose only detection mechanism is 'customer contacts us again' as 9 or 10.",,,,,,,,,,,,,,,,,
"That scoring alone reprioritizes most support FMEAs dramatically.",,,,,,,,,,,,,,,,,
