Metric,Data type,Source system,Extraction method,Unit of analysis,Population,Time window,Sample size,Sample size derivation,Sampling method,Stratification factors,Who collects,When / frequency,Where stored,Validation check,Owner
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"# STRATIFICATION FACTORS TO CONSIDER (list before you query, not after the first surprise):",,,,,,,,,,,,,,,
"# contact reason / intent | channel | customer segment or tier | product or SKU | agent tenure band",,,,,,,,,,,,,,,
"# site or vendor | shift and day-part | language | new vs returning issue | bot-deflected first (Y/N)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"# DATA AUDIT — SIX SUPPORT TRAPS. Check each and record the result.",,,,,,,,,,,,,,,
Trap,Check performed,Result,Action taken,,,,,,,,,,,,
Survivorship in CSAT,"Response rate; compare responder vs non-responder profile; abandoned contacts never surveyed",,,,,,,,,,,,,,
Timestamp fiction,"Look for clustering at :00 seconds and at scheduled job times; identify bulk auto-close jobs",,,,,,,,,,,,,,
Disposition drift,"Frequency of 'Other' and of the first alphabetical option; agent-level coding distribution",,,,,,,,,,,,,,
Pause abuse,"Compare paused vs unpaused duration distributions; pause frequency by agent",,,,,,,,,,,,,,
Merged / duplicate tickets,"Count merges in the window; confirm they are excluded from the denominator",,,,,,,,,,,,,,
Backfill / record editing,"Re-run the same query 7 days later and compare; snapshot the baseline extract immutably",,,,,,,,,,,,,,
