Step #,Step description,Who performs,System(s) used,Process (touch) time,Wait time before this step,% Complete and Accurate,Value classification,Rework loop?,Notes
1,,,,,,,VA / BVA / NVA,,
2,,,,,,,VA / BVA / NVA,,
3,,,,,,,VA / BVA / NVA,,
4,,,,,,,VA / BVA / NVA,,
5,,,,,,,VA / BVA / NVA,,
6,,,,,,,VA / BVA / NVA,,
7,,,,,,,VA / BVA / NVA,,
8,,,,,,,VA / BVA / NVA,,
9,,,,,,,VA / BVA / NVA,,
10,,,,,,,VA / BVA / NVA,,
,,,,,,,,,
SUMMARY,,,,,,,,,
Total touch time,,,,,,,,,
Total lead time,,,,,,,,,
Process Cycle Efficiency (touch / lead),,,,,,,,,
Rolled throughput yield (product of %C&A),,,,,,,,,
Number of distinct systems touched,,,,,,,,,
Number of copy-paste operations per unit,,,,,,,,,
Number of handoffs,,,,,,,,,
,,,,,,,,,
WAITING STATES — quantify each; this is usually the entire opportunity,,,,,,,,,
Waiting state,Hours,% of lead time,Owner,Root cause hypothesis,,,,,
Awaiting customer reply,,,,,,,,,
In queue unassigned,,,,,,,,,
Awaiting Tier 2 / specialist,,,,,,,,,
Awaiting engineering triage,,,,,,,,,
Awaiting internal approval,,,,,,,,,
Awaiting external party / vendor,,,,,,,,,
,,,,,,,,,
EIGHT WASTES OBSERVED,,,,,,,,,
Waste,Observed instance,Estimated cost / frequency,,,,,,,
Defects (reopens / wrong resolutions / misroutes),,,,,,,,,
Overproduction (unnecessary follow-ups),,,,,,,,,
Waiting (queue / hold / approval),,,,,,,,,
Non-utilized talent (authority limits),,,,,,,,,
Transportation (transfers between teams),,,,,,,,,
Inventory (backlog / pending queues),,,,,,,,,
Motion (swivel-chair between systems),,,,,,,,,
Extra processing (redundant verification / unread fields),,,,,,,,,
